132229,133107,135524,137036,139311,141612,143253,143824,148073,150860,152266,153861,154445,156410,156357,157463,155815,155353,153640,152296,149968,147987,145029,141912,141288,141156,138743,135864,133414,131027,129406,128353
132024,134312,135725,138172,141969,142114,144362,145756,147000,148598,150199,152144,153303,155000,154990,156671,155763,155083,152996,153204,150365,147905,145267,141912,141665,139786,139195,135530,133966,130984,129271,127772
131037,133477,136339,137343,141024,141896,145231,146208,148219,149542,151131,153148,154260,156212,155974,156208,154680,154587,152646,151464,149051,146630,144111,141688,141939,140034,139037,136607,135412,132338,131516,130218
131853,134867,136878,137941,141444,143108,145297,145468,146829,147968,150199,151580,153739,156037,157291,158014,156558,157479,155792,153471,150305,148456,145548,142768,142078,140328,137558,135039,133715,131129,130446,129007
132110,135521,137785,140790,143537,146224,147908,148582,150318,150351,152299,153630,155631,121073,119713,151553,154475,153851,152966,151890,149391,147717,145505,144019,142150,140103,138007,134890,132985,129961,129099,127976
134507,136963,139020,142593,144435,146564,148674,149331,151134,151249,152771,154561,88922,9036,9700,27030,109979,154736,152732,151735,148978,147575,145280,143385,142266,139793,137340,134147,132298,128597,127508,126831
136032,139446,140995,142741,145557,146881,148978,150715,152022,151946,152573,155304,36298,7455,8680,14071,21170,144243,151883,150173,148714,147056,145009,143250,141774,139915,137155,134362,131202,127686,126593,125444
135980,140394,143233,143748,145891,147439,149282,151058,152573,153019,153825,135048,7987,57514,51092,111630,65421,61865,113278,139100,147433,146776,144428,142309,140651,138386,135659,132609,130113,126913,125626,124001
137119,138842,141655,143012,145600,147357,149460,151774,89543,56527,55044,27869,36585,50977,105628,131476,79410,96245,80552,111875,142622,145300,144082,142315,140219,137333,135359,132018,129040,125834,124150,123196
138872,141388,143543,144303,146888,148740,151811,104116,13035,12962,12985,10793,77046,73513,29602,101785,69901,37282,66184,112977,90375,138779,143557,141681,139562,138066,135656,132136,129842,126814,123754,122961
138307,140942,142114,142883,146386,148885,82824,12972,11717,10572,11529,13751,38473,39124,7366,108263,88628,54912,49375,90863,143530,141969,141460,139965,139671,137548,135976,131829,129191,126520,124738,122908
136551,137865,139311,140919,144795,64054,13084,12041,10717,10076,10664,12160,18812,18175,41511,62506,108636,167051,84666,97757,140912,140747,140750,139334,139149,137650,136095,132166,128974,126233,124464,122535
135200,137680,138802,140569,72678,11136,11308,10284,9865,9967,10466,9532,9175,40534,12949,18119,121360,143804,42511,128548,139169,138967,138551,137036,137171,136211,134226,131724,129195,125745,123249,120571
134702,137218,138258,139905,25746,10232,11598,10908,10242,9231,10020,8908,39127,14557,10248,10968,36922,17393,28021,140407,138485,137386,136891,135689,132302,140612,133629,131120,129162,125817,124024,120690
136230,137568,137571,139195,108147,12546,8842,9621,13282,12635,15075,20935,14236,9882,10334,8951,47883,52509,39510,138017,137733,136924,135369,133021,136709,139057,134002,132453,129743,126593,124714,121433
137053,137270,137581,138126,140367,101059,7802,7643,8571,10420,23405,34039,11935,11651,8472,14471,73576,29665,59650,141140,138126,137733,136336,132305,155674,144161,134530,132724,130076,126936,124837,122816
137082,137373,137564,138383,140050,95634,7386,7339,9241,9443,12024,20344,16465,11701,57722,21999,94852,120218,58273,127171,138050,137221,135986,131687,152118,143920,133507,138033,137960,127669,125877,123536
136851,137406,137914,139139,142031,55863,9611,8719,8294,10974,11770,12038,12180,41319,140846,42538,122658,128326,94848,82642,160527,147991,134560,130756,151140,143794,132671,131172,129406,127537,125639,123925
106410,110115,134114,139621,121476,9994,10707,11816,10872,12057,12645,12031,11985,89417,123493,62691,127650,123991,93841,46417,138650,154462,152643,128756,148859,144541,131952,128244,125751,127052,125748,124437
91111,112614,123153,111776,54539,9733,9806,9555,10030,10367,11354,11169,12612,154432,105080,97589,132186,134986,136250,79324,96492,139268,131988,133810,122189,135818,138218,139605,141830,129845,114291,115113
68224,69010,69089,68921,12853,10625,11097,11232,10763,10611,12242,11562,22949,82398,46311,69109,113033,106410,98104,98837,37430,71311,76696,72698,52363,98955,152722,153501,112644,90820,59392,67158
107150,107510,109993,81880,10133,10377,11288,11457,11734,10506,11787,11608,94188,150411,57421,74494,90236,84280,90863,79301,52885,65154,84260,53615,60337,52040,75887,89945,74157,68029,37721,38998
111709,112472,108514,45886,9660,10380,11050,10489,12163,10463,11532,11265,96291,116315,37305,109458,117349,111772,114823,119419,105446,50171,114407,115493,118006,118573,116685,115331,113420,113667,112733,111287
116533,115711,113004,15174,9961,9849,10757,11202,12295,10413,12256,30319,112129,88156,47616,109653,117702,107896,106552,105113,107427,44446,89955,96727,91124,90200,88255,86082,87033,94274,92389,90246
111066,112089,114407,70796,14507,9515,10625,11840,12081,9954,12374,61182,117745,66005,71651,115830,114747,109108,109748,108857,110171,89189,58375,108989,108210,105248,104862,105740,104050,101887,97740,97912
116021,115444,112641,113621,61713,14613,11001,12995,12018,9750,12345,88991,116579,62638,110316,110211,114991,120287,117510,112720,112350,109283,79648,112472,111756,107266,104783,99338,98863,96697,98222,99989
110036,111749,111198,115113,54767,29803,9086,7878,10004,8980,16297,103700,110851,44278,88562,105086,101313,105479,111307,111468,111185,106018,72153,70189,103436,98668,101220,99579,99923,98625,98447,91936
102871,106542,109851,113641,49956,31259,35575,14854,7881,8498,38942,97760,82665,38678,93151,99913,97400,106001,111260,116665,114925,114714,114093,39788,108173,104136,99619,101957,101085,101177,101478,96496
104915,105945,105509,106305,44377,26759,42198,50478,12823,30157,76584,108362,82764,99368,102911,106988,108893,108523,105743,108900,108418,111254,107787,87661,122265,102221,99342,101719,101263,97612,95390,97922
109834,104406,107890,107394,44529,28605,42538,74362,27403,26063,92055,108055,86924,157493,106982,108362,107820,106575,104241,105311,106143,102392,104651,95317,110960,98295,95268,94360,93399,89609,96489,100738
101022,106463,104056,101445,40197,33759,58002,82111,44007,30995,80929,102181,92181,128458,101943,104321,109487,100517,107777,110313,109095,109514,105753,101970,102240,108778,101078,101092,93359,92293,97615,97182
103627,105951,103611,110736,36836,28886,73081,74187,39636,37295,80721,103941,113238,113126,101749,102802,104865,98193,99335,103987,104274,106737,105252,100088,93422,116266,94990,103376,95433,98335,97381,96965
